fua_code,study_city_label,population,spotify_id,band,monthly_listeners,catalogue
UK010F,Sheffield,1168389,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,52301870,Editorial reviewed ten
UK010F,Sheffield,1168389,1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,13707032,Editorial reviewed ten
UK010F,Sheffield,1168389,2kS4yz85MaZlxp2VaS3BEe,Cabaret Voltaire,45473,Editorial reviewed ten
UK010F,Sheffield,1168389,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,10792689,Editorial reviewed ten
UK010F,Sheffield,1168389,5PYuBRQMHh7nWmdV076sH9,Heaven 17,342911,Editorial reviewed ten
UK010F,Sheffield,1168389,4aaBjq7VqqQvpSF69GglvO,Moloko,2507932,Editorial reviewed ten
UK010F,Sheffield,1168389,36E7oYfz3LLRto6l2WmDcD,Pulp,2830863,Editorial reviewed ten
UK010F,Sheffield,1168389,1aX2dmV8XoHYCOQRxjPESG,The Human League,6085844,Editorial reviewed ten
UK010F,Sheffield,1168389,5jVeqi3PNaTOajfvBa4uFn,Thompson Twins,2069490,Editorial reviewed ten
UK002F,Birmingham,3135994,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,18288641,Systematic popularity-first top ten
UK002F,Birmingham,3135994,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,15134650,Systematic popularity-first top ten
UK002F,Birmingham,3135994,69MEO1AADKg1IZrq2XLzo5,UB40,9327767,Systematic popularity-first top ten
UK002F,Birmingham,3135994,4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,7999321,Systematic popularity-first top ten
UK002F,Birmingham,3135994,20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals,5309505,Systematic popularity-first top ten
UK002F,Birmingham,3135994,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,4112763,Systematic popularity-first top ten
UK002F,Birmingham,3135994,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,2129836,Systematic popularity-first top ten
UK002F,Birmingham,3135994,6UL7BodGc5iVmQGlMwHR0g,Steel Pulse,1883347,Systematic popularity-first top ten
UK002F,Birmingham,3135994,4GvOygVQquMaPm8oAc0vXi,The Streets,1675316,Systematic popularity-first top ten
UK002F,Birmingham,3135994,3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,1087690,Systematic popularity-first top ten
UK004F,Glasgow,1831890,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,10807735,Systematic popularity-first top ten
UK004F,Glasgow,1831890,6hN9F0iuULZYWXppob22Aj,Simple Minds,9628717,Systematic popularity-first top ten
UK004F,Glasgow,1831890,7bPU7cvfoD20ixGD9Qnqki,Stealers Wheel,5726001,Systematic popularity-first top ten
UK004F,Glasgow,1831890,2m62cc253Xvd9qYQ8d2X3d,The Alan Parsons Project,4991688,Systematic popularity-first top ten
UK004F,Glasgow,1831890,3CjlHNtplJyTf9npxaPl5w,CHVRCHES,4152413,Systematic popularity-first top ten
UK004F,Glasgow,1831890,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,4131358,Systematic popularity-first top ten
UK004F,Glasgow,1831890,3bUwxJgNakzYKkqAVgZLlh,Travis,2884486,Systematic popularity-first top ten
UK004F,Glasgow,1831890,5JsdVATHNPE0XdMFMRoSuf,Texas,2420479,Systematic popularity-first top ten
UK004F,Glasgow,1831890,2u0gw0uCWBMiqV7h0N8kai,Wet Wet Wet,2057236,Systematic popularity-first top ten
UK004F,Glasgow,1831890,3wury2nd8idV4GecUg5xze,Primal Scream,1165795,Systematic popularity-first top ten
UK003F,Leeds,2969034,3XHO7cRUPCLOr6jwp8vsx5,alt-J,8110938,Systematic popularity-first top ten
UK003F,Leeds,2969034,6aq8T2RcspxVOGgMrTzjWc,Soft Cell,5766246,Systematic popularity-first top ten
UK003F,Leeds,2969034,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,2999896,Systematic popularity-first top ten
UK003F,Leeds,2969034,01pKrlgPJhm5dB4lneYAqS,Sigma,2550591,Systematic popularity-first top ten
UK003F,Leeds,2969034,49DW3KvkyjHO35mK1JnSyS,The Cult,2277310,Systematic popularity-first top ten
UK003F,Leeds,2969034,5rIqOJspxDq89aBBCUda1X,Smokie,1611813,Systematic popularity-first top ten
UK003F,Leeds,2969034,3AmWjMXXtBJOmNGpUFSOAl,Gang Of Four,469462,Systematic popularity-first top ten
UK003F,Leeds,2969034,2h3ooJn8m8X8cL2g1BZ1Rd,Yard Act,416371,Systematic popularity-first top ten
UK003F,Leeds,2969034,74K7bX12L8GBAWvPuyIgJ7,Embrace,411812,Systematic popularity-first top ten
UK003F,Leeds,2969034,0gIo6kGl4KsCeIbqtZVHYp,Paradise Lost,336657,Systematic popularity-first top ten
UK006F,Liverpool,1540817,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,37927636,Systematic popularity-first top ten
UK006F,Liverpool,1540817,240wlM8vDrf6S4zCyzGj2W,CamelPhat,6543464,Systematic popularity-first top ten
UK006F,Liverpool,1540817,47Z8LEl3LnQkcpva0xSthT,The La's,5581915,Systematic popularity-first top ten
UK006F,Liverpool,1540817,0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,4670482,Systematic popularity-first top ten
UK006F,Liverpool,1540817,7wJ9NwdRWtN92NunmXuwBk,Orchestral Manoeuvres In The Dark,3287803,Systematic popularity-first top ten
UK006F,Liverpool,1540817,5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,3275455,Systematic popularity-first top ten
UK006F,Liverpool,1540817,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,2884656,Systematic popularity-first top ten
UK006F,Liverpool,1540817,1mZu3rO7qSD09GdDpePHhY,Frankie Goes To Hollywood,2758706,Systematic popularity-first top ten
UK006F,Liverpool,1540817,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,2751716,Systematic popularity-first top ten
UK006F,Liverpool,1540817,0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,2210172,Systematic popularity-first top ten
UK001F,London,12274097,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,92034104,Systematic popularity-first top ten
UK001F,London,12274097,1dfeR4HaWDbWqFHLkxsg1d,Queen,51601234,Systematic popularity-first top ten
UK001F,London,12274097,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,50959935,Systematic popularity-first top ten
UK001F,London,12274097,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,45724043,Systematic popularity-first top ten
UK001F,London,12274097,5NGO30tJxFlKixkPSgXcFE,The Police,39887109,Systematic popularity-first top ten
UK001F,London,12274097,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,38173160,Systematic popularity-first top ten
UK001F,London,12274097,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,30690194,Systematic popularity-first top ten
UK001F,London,12274097,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,26546155,Systematic popularity-first top ten
UK001F,London,12274097,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,26242776,Systematic popularity-first top ten
UK001F,London,12274097,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,25836943,Systematic popularity-first top ten
UK008F,Manchester,3432092,2DaxqgrOhkeH0fpeiQq2f4,Oasis,39676473,Systematic popularity-first top ten
UK008F,Manchester,3432092,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,22515532,Systematic popularity-first top ten
UK008F,Manchester,3432092,3mIj9lX2MWuHmhNCA7LSCW,The 1975,18915018,Systematic popularity-first top ten
UK008F,Manchester,3432092,1zxDewzd2j1ZdSBGaYcr0y,The Outfield,17941634,Systematic popularity-first top ten
UK008F,Manchester,3432092,2cGwlqi3k18jFpUyTrsR84,The Verve,16374768,Systematic popularity-first top ten
UK008F,Manchester,3432092,6waa8mKu91GjzD4NlONlNJ,The Hollies,10112715,Systematic popularity-first top ten
UK008F,Manchester,3432092,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,9143502,Systematic popularity-first top ten
UK008F,Manchester,3432092,1fa0cOhromAZdq2xRA4vv8,Simply Red,9097250,Systematic popularity-first top ten
UK008F,Manchester,3432092,0yNLKJebCb8Aueb54LYya3,New Order,8786188,Systematic popularity-first top ten
UK008F,Manchester,3432092,6i6WlGzQtXtz7GcC5H5st5,10cc,6808182,Systematic popularity-first top ten
UK013F,Newcastle,1173303,3ICflSq6ZgYAIrm2CTkfVP,The Animals,12324330,Systematic popularity-first top ten
UK013F,Newcastle,1173303,6edGSAX5dVpeJVwu1Q0NwJ,Lighthouse Family,2921952,Systematic popularity-first top ten
UK013F,Newcastle,1173303,048FBwXjFYBWxSggPDipic,Maximo Park,411159,Systematic popularity-first top ten
UK013F,Newcastle,1173303,5fwaejlOHVBAw1KhIPPaQe,Venom,203523,Systematic popularity-first top ten
UK013F,Newcastle,1173303,1MZ8NERIuOS610KBhr6yna,Tygers Of Pan Tang,89626,Systematic popularity-first top ten
UK013F,Newcastle,1173303,0IzJYdxaNLwrC7diSCu0iY,Geordie,79034,Systematic popularity-first top ten
UK013F,Newcastle,1173303,7sx3r4lMo079vO7lIi0fng,Lanterns on the Lake,43202,Systematic popularity-first top ten
UK013F,Newcastle,1173303,5z96yaS2s1USscDldCCDgw,Angelic Upstarts,37083,Systematic popularity-first top ten
UK013F,Newcastle,1173303,1F7QDWyZTLGzkyGLgFjEhU,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,37035,Systematic popularity-first top ten
UK013F,Newcastle,1173303,3SRTWBeGhX3o5DCQ2zzTdI,Dubstar,34962,Systematic popularity-first top ten
UK010F,Sheffield,1168389,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,52301870,Systematic popularity-first top ten
UK010F,Sheffield,1168389,1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,13707032,Systematic popularity-first top ten
UK010F,Sheffield,1168389,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,10792689,Systematic popularity-first top ten
UK010F,Sheffield,1168389,1aX2dmV8XoHYCOQRxjPESG,The Human League,6085844,Systematic popularity-first top ten
UK010F,Sheffield,1168389,36E7oYfz3LLRto6l2WmDcD,Pulp,2830863,Systematic popularity-first top ten
UK010F,Sheffield,1168389,4aaBjq7VqqQvpSF69GglvO,Moloko,2507932,Systematic popularity-first top ten
UK010F,Sheffield,1168389,5jVeqi3PNaTOajfvBa4uFn,Thompson Twins,2069490,Systematic popularity-first top ten
UK010F,Sheffield,1168389,2Z7UcsdweVlRbAk5wH5fsf,The Last Shadow Puppets,1305891,Systematic popularity-first top ten
UK010F,Sheffield,1168389,2s79xe5F6eUQkjwjww27Fh,ABC,1028147,Systematic popularity-first top ten
UK010F,Sheffield,1168389,6QNkSI0c63lCTNXpHDBiqP,Ace,1026309,Systematic popularity-first top ten
