uk_population_rank,fua_code,official_fua_name,study_city_label,population_year,population,observation_status,source_dataset,source_dataset_url,territorial_definition,captured_at_utc
1,UK001F,London,London,2024,12666099,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
2,UK008F,Manchester,Manchester,2024,3595966,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
3,UK002F,West Midlands urban area,Birmingham,2024,3247941,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
4,UK003F,Leeds,Leeds,2024,3070506,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
5,UK004F,Glasgow,Glasgow,2024,1895840,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
6,UK006F,Liverpool,Liverpool,2024,1597536,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
7,UK013F,Newcastle upon Tyne,Newcastle,2024,1221203,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
8,UK010F,Sheffield,Sheffield,2024,1217504,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
9,UK011F,Bristol,Bristol,2024,1025309,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
10,UK014F,Leicester,Leicester,2024,967988,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
11,UK009F,Cardiff,Cardiff,2024,939371,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
12,UK029F,Nottingham,Nottingham,2024,936382,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
13,UK007F,Edinburgh,Edinburgh,2024,932180,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
14,UK012F,Belfast,Belfast,2024,817574,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
15,UK025F,Coventry,Coventry,2024,787858,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
16,UK520F,Southampton,Southampton,2024,713674,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
