popularity_rank,capture_key,city,returned_spotify_id,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access,requested_spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label,identity_decision,origin_override,reason,source_url,identity_name_match,identity_status,identity_accepted,band_eligible,eligibility_status,requested_is_returned,redirect_duplicate,entity_duplicate,origin_cluster,origin_resolution
12,The Rolling Stones [22bE4uQ6baNwSHPVcDxLCe],,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,30690194,16651560,204,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,22bE4uQ6baNwSHPVcDxLCe,Q11036,The Rolling Stones,The Rolling Stones,Q84,London,band|musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
13,Bee Gees [1LZEQNv7sE11VDY3SdxQeN],,1LZEQNv7sE11VDY3SdxQeN,Bee Gees,29286539,10121737,226,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1LZEQNv7sE11VDY3SdxQeN,Q133405,Bee Gees,Bee Gees,Q1995031,Los Hornos,musical group|musical trio|sibling musical trio|sibling trio,United Kingdom,,Redcliffe,"The archived Wikidata formation label Los Hornos is erroneous; the Bee Gees' official history places the group's naming and first record deal in Redcliffe, Queensland.",https://www.beegees.com/bee-gees-way-redcliffe-australia/,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Redcliffe,reviewed_override
14,Glass Animals [4yvcSjfu4PC0CYQyLy4wSq],,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,27093208,4804844,271,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4yvcSjfu4PC0CYQyLy4wSq,Q16839267,Glass Animals,Glass Animals,Q34217,Oxford,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Oxford,reported_place
15,Pink Floyd [0k17h0D3J5VfsdmQ1iZtE9],,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,26546155,24145634,282,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0k17h0D3J5VfsdmQ1iZtE9,Q2306,Pink Floyd,Pink Floyd,Q84,London,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
16,Dire Straits [0WwSkZ7LtFUFjGjMZBMt6T],,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,26242776,9643393,290,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0WwSkZ7LtFUFjGjMZBMt6T,Q50040,Dire Straits,Dire Straits,Q2308650,Deptford,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,editorial_city_cluster
17,Florence + the Machine [1moxjboGR7GNWYIMWsRjgG],,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,25836943,7587105,296,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1moxjboGR7GNWYIMWsRjgG,Q217360,Florence + the Machine,Florence + the Machine,Q84,London,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
18,The Cure [7bu3H8JO7d0UbMoVzbo70s],,7bu3H8JO7d0UbMoVzbo70s,The Cure,25827890,7492117,297,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,7bu3H8JO7d0UbMoVzbo70s,Q484427,The Cure,The Cure,Q844908,Crawley,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Crawley,reported_place
19,Sade [47zz7sob9NUcODy0BTDvKx],,47zz7sob9NUcODy0BTDvKx,Sade,25528819,6060389,309,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,47zz7sob9NUcODy0BTDvKx,Q658182,Sade,Sade,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
20,Disclosure [6nS5roXSAGhTGr34W6n7Et],,6nS5roXSAGhTGr34W6n7Et,Disclosure,25360907,2482964,314,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6nS5roXSAGhTGr34W6n7Et,Q1228440,Disclosure,Disclosure,Q1018418,Reigate,musical duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Reigate,reported_place
21,Tears for Fears [4bthk9UfsYUYdcFyqxmSUU],,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,23781006,4593372,338,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4bthk9UfsYUYdcFyqxmSUU,Q269091,Tears for Fears,Tears for Fears,Q22889,Bath,musical duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Bath,reported_place
22,Keane [53A0W3U0s8diEn9RhXQhVz],,53A0W3U0s8diEn9RhXQhVz,Keane,23259577,4211743,348,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,53A0W3U0s8diEn9RhXQhVz,Q484311,Keane,Keane,Q737593,Battle,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Battle,reported_place
23,The Smiths [3yY2gUcIsjMr8hjo51PoJ8],,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,22515532,8767855,367,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3yY2gUcIsjMr8hjo51PoJ8,Q180598,The Smiths,The Smiths,Q18125,Manchester,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Manchester,reported_place
24,Bastille [7EQ0qTo7fWT7DPxmxtSYEc],,7EQ0qTo7fWT7DPxmxtSYEc,Bastille,22166012,5786448,374,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,7EQ0qTo7fWT7DPxmxtSYEc,Q689,Bastille,Bastille,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
25,Muse [12Chz98pHFMPJEknJQMWvI],,12Chz98pHFMPJEknJQMWvI,Muse,20942571,8949427,412,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,12Chz98pHFMPJEknJQMWvI,Q22151,Muse,Muse,Q531311,Teignmouth,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Teignmouth,reported_place
26,Led Zeppelin [36QJpDe2go2KgaRleHCDTp],,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,20605707,16927470,426,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,36QJpDe2go2KgaRleHCDTp,Q2331,Led Zeppelin,Led Zeppelin,Q84,London,musical group|rock band,England,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
27,The 1975 [3mIj9lX2MWuHmhNCA7LSCW],,3mIj9lX2MWuHmhNCA7LSCW,The 1975,18915018,8582651,493,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3mIj9lX2MWuHmhNCA7LSCW,Q2811247,The 1975,The 1975,Q2011497,Wilmslow,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Manchester,editorial_city_cluster
28,Electric Light Orchestra [7jefIIksOi1EazgRTfW2Pk],,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,18330664,4748870,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,7jefIIksOi1EazgRTfW2Pk,Q218255,Electric Light Orchestra,Electric Light Orchestra,Q2256,Birmingham,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Birmingham,reported_place
29,Black Sabbath [5M52tdBnJaKSvOpJGz8mfZ],,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,18288641,10711277,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5M52tdBnJaKSvOpJGz8mfZ,Q47670,Black Sabbath,Black Sabbath,Q2256,Birmingham,heavy metal band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Birmingham,reported_place
30,The Outfield [1zxDewzd2j1ZdSBGaYcr0y],,1zxDewzd2j1ZdSBGaYcr0y,The Outfield,17941634,893650,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1zxDewzd2j1ZdSBGaYcr0y,Q2093178,The Outfield,The Outfield,Q18125,Manchester,musical group,United Kingdom,,London,The band's official biography describes it as London-based and rooted in London's East End; Manchester is unsupported.,https://theoutfield.com/bio,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reviewed_override
31,Depeche Mode [762310PdDnwsDxAQxzQkfX],,762310PdDnwsDxAQxzQkfX,Depeche Mode,17667155,7949283,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,762310PdDnwsDxAQxzQkfX,Q482964,Depeche Mode,Depeche Mode,Q216649,Basildon,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Basildon,reported_place
32,America [35U9lQaRWSQISxQAB94Meo],,35U9lQaRWSQISxQAB94Meo,America,17384987,2286400,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,35U9lQaRWSQISxQAB94Meo,Q126852,America,America,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
33,The Verve [2cGwlqi3k18jFpUyTrsR84],,2cGwlqi3k18jFpUyTrsR84,The Verve,16374768,3001478,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2cGwlqi3k18jFpUyTrsR84,Q488916,The Verve,The Verve,Q208143,Wigan,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Manchester,editorial_city_cluster
34,Duran Duran [0lZoBs4Pzo7R89JM9lxwoT],,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,15134650,3958344,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0lZoBs4Pzo7R89JM9lxwoT,Q58381,Duran Duran,Duran Duran,Q2256,Birmingham,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Birmingham,reported_place
35,Eurythmics [0NKDgy9j66h3DLnN8qu1bB],,0NKDgy9j66h3DLnN8qu1bB,Eurythmics,14843560,2546395,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0NKDgy9j66h3DLnN8qu1bB,Q207706,Eurythmics,Eurythmics,Q188304,Sunderland,musical group,United Kingdom,,London,The duo formed in London; Sunderland is Dave Stewart's earlier home scene.,https://rockhall.com/wp-content/uploads/2024/03/Eurythmics_RNRHF_Final_2022-LR.pdf,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reviewed_override
36,Little Mix [3e7awlrlDSwF3iM0WBjGMp],,3e7awlrlDSwF3iM0WBjGMp,Little Mix,14779473,12405563,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3e7awlrlDSwF3iM0WBjGMp,Q158419,Little Mix,Little Mix,Q21,England,girl group,United Kingdom,,London,Wikidata records only England; Apple Music records London as the formation place,https://music.apple.com/gb/artist/little-mix/477515548,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reviewed_override
37,The Clash [3RGLhK1IP9jnYFH4BRFJBS],,3RGLhK1IP9jnYFH4BRFJBS,The Clash,14589467,3508323,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3RGLhK1IP9jnYFH4BRFJBS,Q125603,The Clash,The Clash,Q84,London,musical group|rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
38,Mumford & Sons [3gd8FJtBJtkRxdfbTu19U2],,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,14381934,6882187,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3gd8FJtBJtkRxdfbTu19U2,Q953918,Mumford & Sons,Mumford & Sons,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
39,Blur [7MhMgCo0Bl0Kukl93PZbYS],,7MhMgCo0Bl0Kukl93PZbYS,Blur,14009757,4274924,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,7MhMgCo0Bl0Kukl93PZbYS,Q485820,Blur,Blur,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
40,Bring Me the Horizon [1Ffb6ejR6Fe5IamqA5oRUF],,1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,13707032,7131475,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1Ffb6ejR6Fe5IamqA5oRUF,Q494784,Bring Me the Horizon,Bring Me the Horizon,Q42448,Sheffield,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Sheffield,reported_place
41,Snow Patrol [3rIZMv9rysU7JkLzEaC5Jp],,3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,13274460,3465980,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3rIZMv9rysU7JkLzEaC5Jp,Q188407,Snow Patrol,Snow Patrol,Q123709,Dundee,musical group,Scotland,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Dundee,reported_place
42,Spice Girls [0uq5PttqEjj3IH1bzwcrXF],,0uq5PttqEjj3IH1bzwcrXF,Spice Girls,12877807,4560204,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0uq5PttqEjj3IH1bzwcrXF,Q55641,Spice Girls,Spice Girls,Q84,London,girl group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
